Butyrate,Acetate,Lactate,Succinate,OD
9.0951,41.0891,47.1736,18.7247,2.3425
1.4089,56.2723,49.5949,7.2795,1.9615
16.064,43.0019,34.8484,13.3332,2.4095
5.8337,36.6753,40.1917,33.8893,2.0095
1.4381,36.0848,43.8315,17.8231,1.8355
3.7094,51.4135,54.3242,7.9536,2.0455
7.5045,40.4231,36.6624,23.9725,2.3755
3.5058,46.8888,50.42,3.3018,1.6565
4.7653,51.0202,45.3873,18.1783,2.3065
8.1467,46.7905,45.1027,13.003,2.1645
6.738,59.049,47.7814,6.981,2.5755
8.8759,41.1045,42.5628,32.0223,2.5395
1.5314,41.473,40.904,12.2132,1.8125
4.1858,44.628,46.9062,20.0364,2.2595
4.1431,37.279,47.6938,25.0747,2.0415
2.5835,49.8985,55.0851,18.348,2.1585
8.5762,41.6548,36.0492,29.7999,2.1655
5.1358,42.6397,37.8994,14.9433,2.1085
1.9364,46.4514,52.0198,21.4085,2.3455
1.7508,58.3011,53.7355,2.4763,2.0045
5.2335,41.5073,38.1317,22.7386,2.5355
16.9766,41.4133,29.0892,23.005,2.2125
22.2305,38.3013,32.8404,9.2914,1.6885
1.0263,46.842,53.1398,15.0411,2.0715
7.8003,40.4842,33.6865,28.2169,2.2915
9.9371,45.1555,37.1621,21.1091,2.8095
14.1426,37.0261,27.8897,35.8911,2.3095
11.8452,42.9862,50.3414,7.1244,2.3455
12.4108,41.1312,41.9139,14.9141,2.4025
5.7962,38.8734,46.7452,23.0529,2.2505
2.0815,46.8018,52.7532,17.8363,2.0135
1.462,33.4352,36.3015,10.1807,1.6175
2.1882,43.2777,50.1506,19.7505,2.6465
2.3362,45.4094,47.7042,4.6166,1.8585
0.9317,51.5469,52.8892,6.8175,1.9635
8.8866,38.7195,45.3131,14.5049,2.1545
3.87,37.0174,40.2912,23.6079,2.3095
5.6137,39.7095,42.3816,17.3321,2.2525
3.6522,39.1334,41.8163,27.9616,2.8325
1.5985,46.7269,51.3744,3.0046,1.7955
2.7939,40.1613,51.4488,16.4722,2.0355
2.0156,41.687,45.4288,4.5158,1.8115
2.8324,41.3747,41.8404,12.273,2.4465
