Butyrate,Acetate,Lactate,Succinate,OD
21.6089,38.9667,70.7289,5.5419,1.77736666666667
44.27,9.3572,43.3063,6.6298,0.816966666666667
44.7069,9.1795,49.6038,7.3206,0.865366666666667
22.0322,1.7158,35.1028,1.0354,0.828333333333333
22.1526,1.5272,58.1482,9.1085,0.812333333333333
43.3953,3.4259,24.8611,4.471,1.85133333333333
27.5506,19.0702,49.2483,4.8387,2.63733333333333
27.9854,7.0357,42.6749,3.5871,0.713333333333333
18.5927,5.7991,84.0558,3.0359,0.596333333333333
23.1612,4.7223,50.4553,2.9216,1.00633333333333
16.9279,22.9033,40.1133,0.5665,0.504333333333333
40.9512,14.198,39.3895,4.0547,1.31033333333333
22.1875,6.1147,55.9758,2.354,1.22733333333333
10.3228,17.0008,35.9103,29.5339,2.38333333333333
13.3177,45.9062,40.855,1.2008,0.655608333333333
17.635,33.0245,32.4838,3.7776,1.44533333333333
21.2674,9.1709,28.4391,22.2704,1.77133333333333
15.2845,14.2351,33.177,26.498,1.30433333333333
6.9989,21.4413,30.8515,33.0352,1.61833333333333
19.7119,5.6346,63.3197,5.121,1.17633333333333
7.291,28.9654,21.7938,36.1951,2.19933333333333
8.0637,28.0571,27.9088,33.6042,2.02633333333333
24.1643,132.734,52.7949,3.6162,1.32433333333333
19.6172,16.4722,37.4347,3.3673,1.03433333333333
13.5593,51.6156,54.484,2.3695,1.23033333333333
7.1992,54.9792,44.9943,2.567,1.37333333333333
1.0858,2.0739,25.7753,3.4552,0.00633333333333326
37.5087,1.4982,13.6495,4.0886,0.729333333333333
17.5678,21.5899,64.0406,3.9923,3.05333333333333
40.0931,6.1737,27.8451,6.0024,0.546333333333333
0,0,26.916,4.0082,0.0583333333333333
0,0.9989,24.2902,3.9022,0.00433333333333327
5.0342,28.8278,9.3077,2.6212,0.389333333333333
2.7371,64.5347,30.1917,6.3426,1.17233333333333
0,27.5972,18.7302,46.4904,2.26233333333333
7.4843,18.9634,16.679,35.3646,1.51333333333333
1.9925,58.3212,31.6345,4.6426,1.53133333333333
4.4113,25.594,23.729,32.2822,1.66433333333333
6.2353,24.0592,22.1497,39.6865,1.76133333333333
1.8829,25.2853,33.3658,42.4692,1.80833333333333
8.8381,13.7056,38.217,15.9959,0.947333333333333
0,25.2333,24.9662,34.738,1.83033333333333
6.8541,28.4873,29.9,5.1026,0.979333333333333
0,73.044,61.8453,4.0045,0.977333333333333
0,60.6879,50.959,3.0607,1.33833333333333
40.2585,8.9919,11.8919,3.9233,0.787333333333333
54.5963,9.5322,11.7062,7.8315,2.25933333333333
41.1866,2.1983,12.1071,4.9404,0.753333333333333
40.5445,3.6047,21.2545,4.6959,0.815333333333333
35.6586,2.7745,9.2496,3.5949,0.832333333333333
33.5394,20.3847,14.7167,1.5232,0.793333333333333
40.0583,9.9928,11.8037,3.2764,0.829333333333333
41.2291,35.8585,9.2353,2.0576,0.726333333333333
40.7577,17.5541,3.857,29.7643,2.90133333333333
43.6293,25.4336,3.5786,2.6476,2.32433333333333
44.475,27.3512,0,4.6123,1.47733333333333
37.6622,4.0723,0.1077,10.1667,1.16033333333333
45.8163,10.1221,0.6896,18.3693,2.31333333333333
34.6915,16.3488,0,34.6786,2.15933333333333
40.5714,12.6651,2.0551,26.6178,2.41633333333333
41.2351,11.2026,0,27.2406,1.78033333333333
39.5621,255.3768,13.6543,4.2302,2.31833333333333
43.1503,10.4183,3.4242,6.188,1.45733333333333
42.4648,31.0058,15.5788,2.8577,2.43033333333333
46.5696,16.7715,4.4353,3.62,1.45033333333333
25.0012,3.8824,58.4661,3.5059,0.888333333333333
26.2228,4.3177,52.8232,3.1544,0.807333333333333
25.1378,3.2999,56.4025,2.9318,0.842333333333333
1.1492,1.5271,25.4734,3.1642,0.00350833333333332
0,1.3485,24.2729,2.8374,0.00260833333333332
1.2209,2.6473,25.0577,3.2676,0.00230833333333332
1.1434,2.9794,24.0431,3.3801,0.00150833333333332
45.1024,5.8516,9.37,3.9741,0.781333333333333
39.0219,1.8362,10.7973,3.6813,0.773333333333333
41.3031,2.3398,11.6801,3.7196,0.728333333333333
23.9337,14.7099,47.5397,3.5378,2.54533333333333
13.664,22.6368,46.7146,3.4399,2.57433333333333
47.7428,12.9258,10.1943,4.3182,2.64433333333333
11.6609,24.4842,40.655,1.8151,2.70533333333333
12.9127,20.3159,33.7521,2.0461,2.90833333333333
15.8829,19.7673,58.2985,5.3262,2.54033333333333
13.8621,20.6841,53.9504,1.5548,3.30833333333333
11.0076,22.0364,45.1393,4.1573,2.30133333333333
16.2549,23.971,35.7566,2.6505,2.60433333333333
14.9629,27.638,48.9107,1.9986,2.89033333333333
14.0776,33.3587,44.8408,2.7868,3.14433333333333
16.1443,26.292,42.8778,4.7764,2.78633333333333
9.5033,24.9639,30.125,0.3901,1.91033333333333
11.7813,33.701,48.3244,5.4104,2.48533333333333
16.592,22.6636,31.4277,15.8037,2.71733333333333
20.2534,28.1098,44.6364,7.3229,2.88233333333333
4.9906,23.3553,23.5496,18.1475,2.11933333333333
14.3651,23.5402,43.7138,2.0883,3.03433333333333
