BA,CA,BT,BU,PC,AC,BH,CC,CG,ER,DP,EL,BY,BF,RI,BP,BV,CH,DF,PJ,FP,BC,BO,DL,BL
0,0,0,0,0,0,0,1.87316653214958,0,0.762836427226258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.645703536493604,0,0,0,0,0.0605850263355907,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.284260785415496,0,0.311402384965974,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.00223604766634,0,0,0,0,0,0,0,0.00249834491890103,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.376713110116751,0.127075502751633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.287973692198725,0,0,1.02143154912476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.762268571661172,0,0,0,0,0,0,0,0.463566003174991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.39110189027201,0,0,0,0,0.990583218072845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.609692687346765,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442383621149131,0
0,0,0,0,0,0,0,0,0.85931887755102,0.583249149659864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.562484142535743,0,0,0,1.20711372378257,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.611847595762021,0,0,0,0,0,0,0,0,0,0,0,0,0.691574572127139,0,0
0,0,1.24078587007044,0,0,0,0,0,0,0.375117272694769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0608338734359528,0,0,0,0,0,1.11391110811054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.0116233651467,0,0,0,0,0,0,1.18537769529869,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.140029043980885,0,0,0,0,0,0,0,0,0,0,0,1.88456479812287,0,0,0
0,0,0,0,0,0,0,0,0,1.15939086322255,0,0,0.163526187342327,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.469667238912732,0,0,0,0,0,0,0,0,0.561706628516929,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.534102933863749,0,0,0,0,0,0.693987126360572,0,0,0,0,0,0,0,0,0
1.12256462486057,0,0,0,0,0,0,0,0,0.248970367137107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377304964539003,0,0,0,0
0,0,0,0,0,0.667370473537604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611502321262767,0,0,0,0
0,0,0,0,0,0,0,2.99823848580442,0,0,0,0,0,0,0,0,0,0,0,0,0.0419953732912723,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537666470818645,0,0,0,0,0,0.00584210732471602,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.0572807017543859,0,0,0,0,0,0,0,0,0.000789473684210526,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000222025912838631,0,0,0.000444051825677261,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.347640605389443,0,0,0,0,0,0,0,0,0,0.0410028792912514,0,0,0,0
0,0,0,0,0,0,1.1583213811421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128758479595133,0,0,0,0
0,0,0,0,2.2164195107135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0440397890435167,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36021040540893,0.14127130811601,0,0,0,0
0,0,0,0,0,0,0,0,1.49168078206962,0,0,0,0,0,0,0,0,0,0,0,0.0385571769194087,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.57484258718099,0,0,0,0,0,0,0.0859889343463861,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407991258953502,0,1.34863777265186,0,0
0,0,1.7427045256745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0585465622280244,0,0,0,0
0,0,0,0.427373207885305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518504928315412,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217142857142857,1.80816666666667,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792022589644145,0,0.186311219976866,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972837632112151,0,0,0,0,0.00297037402113794,0,0,0,0
1.32995128740431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00681739735560195,0,0,0,0
0,0,0,0,0,0.786121502942508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.37344592333988,0,0.883915484762528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.751526523702032,0,0,0,0,0,0,0,0,0.00127539503386005,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.605830619205457,0,0,0,0,0,0.208562713167123,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.818939007430365,0,0,0,0,0,0,0,0,0,0,0,0.0127990225295029,0,0,0,0,0,0,0
